itemId,dimension,correctOptionId,questionText,stem,optA,optB,optC,optD,license,poolGroup
sp-rotcw-1,spatial,d,Each step turns 90° clockwise. Which arrow comes next?,sp-rotcw-1-stem.svg,sp-rotcw-1-a.svg,sp-rotcw-1-b.svg,sp-rotcw-1-c.svg,sp-rotcw-1-d.svg,Authored (original),spatial-rotcw
sp-rotcw-2,spatial,b,Continue the clockwise rotation. Which arrow is next?,sp-rotcw-2-stem.svg,sp-rotcw-2-a.svg,sp-rotcw-2-b.svg,sp-rotcw-2-c.svg,sp-rotcw-2-d.svg,Authored (original),spatial-rotcw
sp-rotccw-1,spatial,c,Each step turns 90° anticlockwise. Which arrow is next?,sp-rotccw-1-stem.svg,sp-rotccw-1-a.svg,sp-rotccw-1-b.svg,sp-rotccw-1-c.svg,sp-rotccw-1-d.svg,Authored (original),spatial-rotccw
sp-dots-even,spatial,c,Continue the pattern. How many dots are in the next box?,sp-dots-even-stem.svg,sp-dots-even-a.svg,sp-dots-even-b.svg,sp-dots-even-c.svg,sp-dots-even-d.svg,Authored (original),spatial-dots
sp-dots-odd,spatial,b,What comes next in this sequence of dots?,sp-dots-odd-stem.svg,sp-dots-odd-a.svg,sp-dots-odd-b.svg,sp-dots-odd-c.svg,sp-dots-odd-d.svg,Authored (original),spatial-dots
sp-sides,spatial,a,The shapes gain one side each step. Which shape comes next?,sp-sides-stem.svg,sp-sides-a.svg,sp-sides-b.svg,sp-sides-c.svg,sp-sides-d.svg,Authored (original),spatial-sides
sp-circ-grow,spatial,b,The circle grows each step. Which circle comes next?,sp-circ-grow-stem.svg,sp-circ-grow-a.svg,sp-circ-grow-b.svg,sp-circ-grow-c.svg,sp-circ-grow-d.svg,Authored (original),spatial-circ
sp-sq-shrink,spatial,b,The square shrinks each step. Which square comes next?,sp-sq-shrink-stem.svg,sp-sq-shrink-a.svg,sp-sq-shrink-b.svg,sp-sq-shrink-c.svg,sp-sq-shrink-d.svg,Authored (original),spatial-sq
sp-bar-grow,spatial,b,The bar grows taller each step. Which bar comes next?,sp-bar-grow-stem.svg,sp-bar-grow-a.svg,sp-bar-grow-b.svg,sp-bar-grow-c.svg,sp-bar-grow-d.svg,Authored (original),spatial-bar
sp-tri-rot,spatial,d,The triangle rotates 90° clockwise each step. Which comes next?,sp-tri-rot-stem.svg,sp-tri-rot-a.svg,sp-tri-rot-b.svg,sp-tri-rot-c.svg,sp-tri-rot-d.svg,Authored (original),spatial-tri
